"","X","FID","COMID","FDATE","RESOLUTION","GNIS_ID","GNIS_NAME","LENGTHKM","REACHCODE","FLOWDIR","WBAREACOMI","FTYPE","FCODE","SHAPE_LENG","ENABLED","GNIS_NBR","LCM_Reach"
"21",21,20,23751834,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.11,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.00119349,TRUE,0,"Middle Fork Reach A"
"22",22,21,23751836,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.607,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.006120591,TRUE,0,"Middle Fork Reach A"
"23",23,22,23751838,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.505,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.005926995,TRUE,0,"Middle Fork Reach A"
"24",24,23,23751840,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.772,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.009150263,TRUE,0,"Middle Fork Reach A"
"25",25,24,23751842,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.036,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.000429684,TRUE,0,"Middle Fork Migration"
"26",26,25,23751850,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.054,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.000664669,TRUE,0,"Middle Fork Migration"
"27",27,26,23751880,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",2.923,1.709e+13,"With Digitized",23756234,"ArtificialPath",55800,0.031008517,TRUE,0,"Middle Fork Reach D"
"28",28,27,23751882,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.172,1.709e+13,"With Digitized",23756234,"ArtificialPath",55800,0.002011583,TRUE,0,"Middle Fork Reach D"
"29",29,28,23751884,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.203,1.709e+13,"With Digitized",23756234,"ArtificialPath",55800,0.002516015,TRUE,0,"Middle Fork Reach D"
"30",30,29,23751886,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.705,1.709e+13,"With Digitized",23756234,"ArtificialPath",55800,0.00850446,TRUE,0,"Middle Fork Reach D"
"31",31,30,23751892,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.175,1.709e+13,"With Digitized",23756260,"ArtificialPath",55800,0.002129943,TRUE,0,"Middle Fork Reach D"
"32",32,31,23751890,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.075,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.000905696,TRUE,0,"Middle Fork Reach D"
"33",33,32,23751894,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",3.542,1.709e+13,"With Digitized",23756260,"ArtificialPath",55800,0.035800613,TRUE,0,"Middle Fork Reach D"
"34",34,33,23751900,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.226,1.709e+13,"With Digitized",23756306,"ArtificialPath",55800,0.002181974,TRUE,0,"Middle Fork Reach D"
"35",35,34,23751896,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.732,1.709e+13,"With Digitized",23756260,"ArtificialPath",55800,0.007699329,TRUE,0,"Middle Fork Reach D"
"36",36,35,23751898,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.209,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002078483,TRUE,0,"Middle Fork Reach D"
"37",37,36,23751906,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.923,1.709e+13,"With Digitized",23756324,"ArtificialPath",55800,0.009297364,TRUE,0,"Middle Fork Reach D"
"38",38,37,23751908,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.132,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001643298,TRUE,0,"Middle Fork Reach D"
"39",39,38,23751902,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",2.429,1.709e+13,"With Digitized",23756306,"ArtificialPath",55800,0.026338772,TRUE,0,"Middle Fork Reach D"
"40",40,39,23751910,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.224,1.709e+13,"With Digitized",23756328,"ArtificialPath",55800,0.002630927,TRUE,0,"Middle Fork Reach D"
"41",41,40,23751920,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.079,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.000879435,TRUE,0,"Middle Fork Reach D"
"42",42,41,23751922,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.812,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.009105428,TRUE,0,"Middle Fork Reach D"
"43",43,42,23751918,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.488,1.709e+13,"With Digitized",23756328,"ArtificialPath",55800,0.00592745,TRUE,0,"Middle Fork Reach D"
"44",44,43,23751924,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.5,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.006069221,TRUE,0,"Middle Fork Reach D"
"45",45,44,23751926,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.968,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.011765784,TRUE,0,"Middle Fork Reach D"
"46",46,45,23751928,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.36,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.014877251,TRUE,0,"Middle Fork Reach D"
"47",47,46,23751930,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.566,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.01766942,TRUE,0,"Middle Fork Reach D"
"48",48,47,23751934,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.189,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001919646,TRUE,0,"Middle Fork Reach D"
"49",49,48,23751932,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.188,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.001864409,TRUE,0,"Middle Fork Reach D"
"50",50,49,23751936,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.642,1.709e+13,"With Digitized",23756346,"ArtificialPath",55800,0.007141338,TRUE,0,"Middle Fork Reach D"
"51",51,50,23751938,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.133,1.709e+13,"With Digitized",23756346,"ArtificialPath",55800,0.001200271,TRUE,0,"Middle Fork Reach D"
"52",52,51,23751940,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.755,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007226021,TRUE,0,"Middle Fork Reach D"
"53",53,52,23751942,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.148,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.01315356,TRUE,0,"Middle Fork Reach D"
"54",54,53,23752000,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.131,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001297466,TRUE,0,"Middle Fork Reach E"
"55",55,54,23752002,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.607,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.006287682,TRUE,0,"Middle Fork Reach E"
"56",56,55,23752004,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.048,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00045412,TRUE,0,"Middle Fork Reach E"
"57",57,56,23752006,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.507,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004634662,TRUE,0,"Middle Fork Reach E"
"58",58,57,23752008,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.453,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004779,TRUE,0,"Middle Fork Reach E"
"59",59,58,23752012,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.713,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007901018,TRUE,0,"Middle Fork Reach E"
"60",60,59,23752014,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.265,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013347103,TRUE,0,"Middle Fork Reach E"
"61",61,60,23752016,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.749,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.017342451,TRUE,0,"Middle Fork Reach E"
"62",62,61,23752018,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.663,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.006378637,TRUE,0,"Middle Fork Reach E"
"63",63,62,23752020,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.257,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002490815,TRUE,0,"Middle Fork Reach E"
"64",64,63,23752022,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.209,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002219978,TRUE,0,"Middle Fork Reach E"
"65",65,64,23752024,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.448,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013496635,TRUE,0,"Middle Fork Reach E"
"66",66,65,23752026,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.645,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.006665077,TRUE,0,"Middle Fork Reach E"
"67",67,66,23752028,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.091,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001113942,TRUE,0,"Middle Fork Reach E"
"68",68,67,23752030,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.771,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.008044097,TRUE,0,"Middle Fork Reach E"
"69",69,68,23752032,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.662,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00615083,TRUE,0,"Middle Fork Reach E"
"70",70,69,23752034,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.744,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.017261095,TRUE,0,"Middle Fork Reach E"
"71",71,70,23752036,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.198,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00186678,TRUE,0,"Middle Fork Reach E"
"72",72,71,23752044,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.76,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.008764204,TRUE,0,"Middle Fork Reach E"
"73",73,72,23752046,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.463,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005085295,TRUE,0,"Middle Fork Reach E"
"74",74,73,23752048,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.786,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.020051091,TRUE,0,"Middle Fork Reach E"
"75",75,74,23752066,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.115,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.012182366,TRUE,0,"Middle Fork Reach E"
"76",76,75,23752068,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.25,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.014220523,TRUE,0,"Middle Fork Reach E"
"77",77,76,23752070,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.92,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.009344913,TRUE,0,"Middle Fork Reach E"
"78",78,77,23752072,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.346,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004280458,TRUE,0,"Middle Fork Reach E"
"79",79,78,23752074,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.322,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.003954775,TRUE,0,"Middle Fork Reach E"
"80",80,79,23752076,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.09,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001033958,TRUE,0,"Middle Fork Reach E"
"81",81,80,23752108,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.972,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.024083484,TRUE,0,"Middle Fork Reach E"
"82",82,81,23752110,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.668,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.019883254,TRUE,0,"Middle Fork Reach E"
"83",83,82,23752116,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",2.479,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.028296681,TRUE,0,"Middle Fork Reach E"
"84",84,83,23752118,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.385,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.016021794,TRUE,0,"Middle Fork Reach E"
"85",85,84,23752120,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.456,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005588842,TRUE,0,"Middle Fork Reach E"
"86",86,85,23752122,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.767,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.009150051,TRUE,0,"Middle Fork Reach E"
"87",87,86,23752124,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.392,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004854659,TRUE,0,"Middle Fork Reach E"
"88",88,87,23752126,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.513,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005854129,TRUE,0,"Middle Fork Reach E"
"89",89,88,23752128,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.953,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.010796589,TRUE,0,"Middle Fork Reach E"
"90",90,89,23752130,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.356,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00418408,TRUE,0,"Middle Fork Reach E"
"91",91,90,23752132,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.307,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.003483012,TRUE,0,"Middle Fork Reach E"
"92",92,91,23752134,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.195,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002152336,TRUE,0,"Middle Fork Reach E"
"93",93,92,23752136,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.574,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.015525912,TRUE,0,"Middle Fork Reach E"
"94",94,93,23752148,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",2.167,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.025164268,TRUE,0,"Middle Fork Reach E"
"95",95,94,23752150,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.218,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013307422,TRUE,0,"Middle Fork Reach E"
"96",96,95,23752152,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.166,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001518676,TRUE,0,"Middle Fork Reach E"
"97",97,96,23752154,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.53,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005602402,TRUE,0,"Middle Fork Reach E"
"98",98,97,23752156,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.528,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00491977,TRUE,0,"Middle Fork Reach E"
"99",99,98,23752158,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",4.81,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.052799697,TRUE,0,"Middle Fork Reach E"
"100",100,99,23752160,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.72,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007767871,TRUE,0,"Middle Fork Reach E"
"101",101,100,23752162,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.268,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013643419,TRUE,0,"Middle Fork Reach E"
"102",102,101,23752164,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",3.618,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.042590135,TRUE,0,"Middle Fork Reach E"
"103",103,102,23752168,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.101,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001200757,TRUE,0,"Middle Fork Reach E"
"104",104,103,23752228,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.802,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007946439,TRUE,0,"Middle Fork Reach E"
"105",105,104,23752230,"2/13/01 0:00","Medium",1143605,"Hills Creek",2.437,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.028502945,TRUE,0,"Middle Fork Reach E"
"106",106,105,23752232,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.151,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.01177886,TRUE,0,"Middle Fork Reach E"
"107",107,106,23752234,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.367,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004138724,TRUE,0,"Middle Fork Reach E"
"108",108,107,23752236,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.439,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.015609174,TRUE,0,"Middle Fork Reach E"
"109",109,108,23752238,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.438,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004994769,TRUE,0,"Middle Fork Reach E"
"110",110,109,23752240,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.438,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.014534845,TRUE,0,"Middle Fork Reach E"
"111",111,110,23752242,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.795,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.020403438,TRUE,0,"Middle Fork Reach E"
"112",112,111,23752244,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.552,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005540801,TRUE,0,"Middle Fork Reach E"
"113",113,112,23752250,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.577,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.006583012,TRUE,0,"Middle Fork Reach E"
"114",114,113,23752252,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.303,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013926242,TRUE,0,"Middle Fork Reach E"
"115",115,114,23752254,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.187,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.012440559,TRUE,0,"Middle Fork Reach E"
"116",116,115,23752256,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.722,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007459247,TRUE,0,"Middle Fork Reach E"
"117",117,116,23752258,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.786,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.007523787,TRUE,0,"Middle Fork Reach E"
"118",118,117,23752260,"2/13/01 0:00","Medium",1143605,"Hills Creek",1.267,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013315221,TRUE,0,"Middle Fork Reach E"
"119",119,118,23752262,"2/13/01 0:00","Medium",1143605,"Hills Creek",0.579,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005394489,TRUE,0,"Middle Fork Reach E"
"120",120,119,23752264,"2/13/01 0:00","Medium",1143605,"Hills Creek",2.445,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.025957441,TRUE,0,"Middle Fork Reach E"
"121",121,120,23752338,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.046,1.709e+13,"With Digitized",23756326,"ArtificialPath",55800,0.000510069,TRUE,0,"Middle Fork Reach D"
"122",122,121,23752340,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.453,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.005109704,TRUE,0,"Middle Fork Reach D"
"123",123,122,23752342,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.912,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.010690699,TRUE,0,"Middle Fork Reach D"
"124",124,123,23752344,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.509,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.018195814,TRUE,0,"Middle Fork Reach D"
"125",125,124,23752346,"2/13/01 0:00","Medium",1148972,"Salmon Creek",2.691,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.032197388,TRUE,0,"Middle Fork Reach D"
"126",126,125,23752348,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.121,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.013240275,TRUE,0,"Middle Fork Reach D"
"127",127,126,23752350,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.541,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00607263,TRUE,0,"Middle Fork Reach D"
"128",128,127,23752352,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.81,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.00939046,TRUE,0,"Middle Fork Reach D"
"129",129,128,23752354,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.149,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001743081,TRUE,0,"Middle Fork Reach D"
"130",130,129,23752356,"2/13/01 0:00","Medium",1148972,"Salmon Creek",2.158,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.021839688,TRUE,0,"Middle Fork Reach D"
"131",131,130,23752358,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.252,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002935974,TRUE,0,"Middle Fork Reach D"
"132",132,131,23752360,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.899,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.010917545,TRUE,0,"Middle Fork Reach D"
"133",133,132,23752362,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.344,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.01462996,TRUE,0,"Middle Fork Reach D"
"134",134,133,23752364,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.389,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.003932506,TRUE,0,"Middle Fork Reach D"
"135",135,134,23752366,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.068,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.012225937,TRUE,0,"Middle Fork Reach D"
"136",136,135,23752368,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.113,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.01256582,TRUE,0,"Middle Fork Reach D"
"137",137,136,23752370,"2/13/01 0:00","Medium",1148972,"Salmon Creek",1.484,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.016877538,TRUE,0,"Middle Fork Reach D"
"138",138,137,23752372,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.161,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.002002282,TRUE,0,"Middle Fork Reach D"
